---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
815ac,755489f0,kernelbase.SetLocaleInfoW #1655
815b0,755544c0,kernelbase.GetNLSVersionEx #677
815b4,754a6120,kernelbase.IsDBCSLeadByte #1001
815b8,7548f910,kernelbase.FindNLSStringEx #420
815bc,754b3f20,kernelbase.SetProcessPreferredUILanguages #1672
815c0,75549000,kernelbase.VerLanguageNameW #1891
815c4,754a2a00,kernelbase.GetUserDefaultLCID #882
815c8,75548f50,kernelbase.VerLanguageNameA #1890
815cc,754814a0,kernelbase.IsValidLocaleName #1028
815d0,75554470,kernelbase.GetNLSVersion #676
815d4,75551330,kernelbase.GetThreadUILanguage #866
815d8,755512e0,kernelbase.GetSystemPreferredUILanguages #829
815dc,7548f780,kernelbase.LCMapStringW #1068
815e0,755465b0,kernelbase.LCMapStringA #1066
815e4,755468d0,kernelbase.ConvertDefaultLocale #188
815e8,75547dd0,kernelbase.SetCalendarInfoW #1588
815ec,7548db60,kernelbase.LCMapStringEx #1067
815f0,754ac480,kernelbase.FormatMessageW #448
815f4,75480090,kernelbase.ResolveLocaleName #1543
815f8,75546310,kernelbase.EnumSystemLocalesA #367
815fc,75480860,kernelbase.IsValidCodePage #1025
81600,754808d0,kernelbase.GetACP #462
81604,755473e0,kernelbase.GetSystemDefaultLangID #817
81608,75546330,kernelbase.GetLocaleInfoA #649
8160c,75551470,kernelbase.GetUILanguageInfo #878
81610,754b2540,kernelbase.GetUserPreferredUILanguages #891
81614,755547a0,kernelbase.IsNLSDefinedString #1010
81618,754814e0,kernelbase.GetLocaleInfoW #652
8161c,754aeec0,kernelbase.IdnToAscii #934
81620,754b2430,kernelbase.GetFileMUIPath #612
81624,754ac230,kernelbase.GetThreadPreferredUILanguages #860
81628,75482230,kernelbase.GetLocaleInfoEx #650
8162c,75551600,kernelbase.SetThreadUILanguage #1712
81630,754b3220,kernelbase.GetThreadLocale #859
81634,75547470,kernelbase.GetUserDefaultLangID #883
81638,75482320,kernelbase.GetCalendarInfoEx #484
8163c,75546a40,kernelbase.GetCalendarInfoW #485
81640,7554dc20,kernelbase.GetCPInfoExW #481
81644,75554640,kernelbase.IsValidNLSVersion #1029
81648,7554e560,kernelbase.GetOEMCP #692
